MT903337.1 	Monkeypox virus isolate MPXV-M2940_FCT	Nigeria: FCT	Homo sapiens	Monkeypox virus	complete
MT903338.1 	Monkeypox virus isolate MPXV-M2957_Lagos	Nigeria: Lagos State	Homo sapiens	Monkeypox virus	complete
MT903339.1 	Monkeypox virus isolate MPXV-M3021_Delta	Nigeria: Delta State	Homo sapiens	Monkeypox virus	complete
MT903340.1 	Monkeypox virus isolate MPXV-M5312_HM12_Rivers	Nigeria: Rivers State	Homo sapiens	Monkeypox virus	complete
MT903341.1 	Monkeypox virus isolate MPXV-M5320_M15_Bayelsa	Nigeria: Bayelsa State	Homo sapiens	Monkeypox virus	complete
MT903342.1 	Monkeypox virus isolate MPXV-Singapore	Singapore	Homo sapiens	Monkeypox virus	complete
MT903343.1 	Monkeypox virus isolate MPXV-UK_P1	United Kingdom: Great Britain	Homo sapiens	Monkeypox virus	complete
MT903344.1 	Monkeypox virus isolate MPXV-UK_P2	United Kingdom: Great Britain	Homo sapiens	Monkeypox virus	complete
MT903345.1 	Monkeypox virus isolate MPXV-UK_P3	United Kingdom: Great Britain	Homo sapiens	Monkeypox virus	complete
MT903346.1 	Monkeypox virus isolate MPXV-USA2003_099_Gambian_Rat	USA	Cricetomys gambianus	Monkeypox virus	complete
MT903347.1 	Monkeypox virus isolate MPXV-USA2003_099_Dormouse	USA	Gliridae	Monkeypox virus	complete
MT903348.1 	Monkeypox virus isolate MPXV-USA2003_099_Rope_Squirrel	USA	Funisciurus	Monkeypox virus	complete
NC_003310.1 	Monkeypox virus Zaire-96-I-16, complete genome			Monkeypox virus	complete
ON563414.3 	Monkeypox virus isolate MPXV_USA_2022_MA001, complete genome	USA: MA	Homo sapiens	Monkeypox virus	complete
ON568298.1 	Monkeypox virus isolate MPXV-BY-IMB25241, complete genome	Germany	Homo sapiens	Monkeypox virus	complete
ON585031.1 	Monkeypox virus isolate Monkeypox/PT0003/2022, complete genome	Portugal	Homo sapiens	Monkeypox virus	complete
ON585032.1 	Monkeypox virus isolate Monkeypox/PT0004/2022, complete genome	Portugal	Homo sapiens	Monkeypox virus	complete
ON585033.1 	Monkeypox virus isolate Monkeypox/PT0006/2022, complete genome	Portugal	Homo sapiens	Monkeypox virus	complete
ON585034.1 	Monkeypox virus isolate Monkeypox/PT0007/2022, complete genome	Portugal	Homo sapiens	Monkeypox virus	complete
ON585035.1 	Monkeypox virus isolate Monkeypox/PT0009/2022, complete genome	Portugal	Homo sapiens	Monkeypox virus	complete
ON585037.1 	Monkeypox virus isolate Monkeypox/PT0005/2022, complete genome	Portugal	Homo sapiens	Monkeypox virus	complete
ON585038.1 	Monkeypox virus isolate Monkeypox/PT0008/2022, complete genome	Portugal	Homo sapiens	Monkeypox virus	complete
ON602722.1 	Monkeypox virus isolate MPXV_FRA_2022_TLS67, complete genome	France	Homo sapiens	Monkeypox virus	complete
ON609725.2 	Monkeypox virus isolate SLO, complete genome	Slovenia	Homo sapiens	Monkeypox virus	complete
ON619835.1 	Monkeypox virus isolate MPXV_UK_2022_1, complete genome	United Kingdom	Homo sapiens	Monkeypox virus	complete
ON619836.1 	Monkeypox virus isolate MPXV_UK_2022_2, complete genome	United Kingdom	Homo sapiens	Monkeypox virus	complete
ON619837.1 	Monkeypox virus isolate MPXV_UK_2022_3, complete genome	United Kingdom	Homo sapiens	Monkeypox virus	complete
